song,artist,year
heat waves,Glass Animals,2020
booster seat,Spacey Jane,2020
the difference,Flume and Toro y Moi,2020
cherub,Ball Park Music,2020
lost in yesterday,Tame Impala,2020
wap,Cardi B featuring Megan Thee Stallion,2020
hyperfine,G Flip,2020
sending me ur loving,The Jungle Giants,2020
i'm good,Hilltop Hoods,2020
therefore i am,Billie Eilish,2020
on our own,Lime Cordiale,2020
get on the beers,Mashd N Kutcher featuring Dan Andrews,2020
rockstar,Mallrat,2020
tombstone,Ocean Alley,2020
skin,Spacey Jane,2020
screw loose,Lime Cordiale,2020
is it true,Tame Impala,2020
tangerine,Glass Animals,2020
you should be sad,Halsey,2020
addicted to the sunshine,Lime Cordiale,2020
energy,Stace Cadet and KLP,2020
complicated,Eves Karydas,2020
good news,Mac Miller,2020
blue world,Mac Miller,2020
reality check please,Lime Cordiale,2020
no plans to make plans,Lime Cordiale,2020
under the thunder,Skegss,2020
straightfaced,Spacey Jane,2020
dribble,Sycco,2020
bagilam bargan,Birdz featuring Fred Leone,2020
reasons,San Cisco,2020
criminals,DMA's,2020
breathe deeper,Tame Impala,2020
everybody rise,Amy Shark,2020
running red lights,The Avalanches featuring Rivers Cuomo and Pink Siifu,2020
forget me too,Machine Gun Kelly featuring Halsey,2020
so done,The Kid Laroi,2020
parasite eve,Bring Me the Horizon,2020
righteous,Juice Wrld,2020
come & go,Juice Wrld and Marshmello,2020
i still dream about you,The Smith Street Band,2020
whats poppin,Jack Harlow,2020
together,Ziggy Alberts,2020
you & i,G Flip,2020
as long as you care,Ruel,2020
pretty lady,Tash Sultana,2020
animals,Architects,2020
ain't it different,"Headie One, AJ Tracey and Stormzy",2020
wishing well,Juice Wrld,2020
nothing to love about love,Peking Duk and The Wombats,2020
your love deja vu,Glass Animals,2020
the glow,DMA's,2020
in your eyes,The Weeknd,2020
blue flume remix,Eiffel 65,2020
i think you're great,Alex the Astronaut,2020
on the line,San Cisco,2020
sobercoaster,Beddy Rays,2020
fly away,Tones and I,2020
gimme love,Joji,2020
go,The Kid Laroi and Juice Wrld,2020
pretty grim,Ruby Fields,2020
run,Joji,2020
day & age,Ball Park Music,2020
soak me in bleach,The Amity Affliction,2020
c'mon,Amy Shark featuring Travis Barker,2020
fantasising,Skegss,2020
boss bitch,Doja Cat,2020
lie to me,Vera Blue,2020
second,Hope D,2020
low,Chet Faker,2020
obey,Bring Me the Horizon and Yungblud,2020
way down,Ocean Alley,2020
don't need you,Genesis Owusu,2020
scream drive faster,Laurel,2020
photo id,Remi Wolf,2020
baby it's you,London Grammar,2020
house arrest,Sofi Tukker and Gorgon City,2020
lady marmalade like a version,G Flip,2020
my future,Billie Eilish,2020
freaks,Fisher,2020
weightless,Spacey Jane,2020
the clap,The Chats,2020
down for you,Cosmo's Midnight and Ruel,2020
chicken tenders,Dominic Fike,2020
too tough terry,Dune Rats,2020
laugh now cry later,Drake featuring Lil Durk,2020
three leaf clover,Teenage Joans,2020
heart attack,Bronson featuring Lau.ra,2020
in her eyes,The Jungle Giants,2020
no time to die,Billie Eilish,2020
charlie like a version,Bugs,2020
these days,Thelma Plum,2020
lemonade,Internet Money and Gunna featuring Don Toliver and Nav,2020
rain,Aitch and AJ Tracey featuring Tay Keith,2020
loose ends,Illy featuring G Flip,2020
germaphobe,Hockey Dad,2020
audacity,Stormzy featuring Headie One,2020
your man,Joji,2020
itch,Hockey Dad,2020
kool,Benee,2020
drivers license,Olivia Rodrigo,2021
34+35,Ariana Grande,2021
calling my phone,Lil Tjay Featuring 6LACK,2021
blinding lights,The Weeknd,2021
up,Cardi B,2021
save your tears,The Weeknd,2021
mood,24kGoldn Featuring iann dior,2021
