danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.54,0.474,11,-8.272,1,0.033,0.479,6.68e-06,0.0949,0.185,130.2,audio_features,22hw67NtsSmWCkCFCIVWNO,spotify:track:22hw67NtsSmWCkCFCIVWNO,https://api.spotify.com/v1/tracks/22hw67NtsSmWCkCFCIVWNO,https://api.spotify.com/v1/audio-analysis/22hw67NtsSmWCkCFCIVWNO,270333,4
0.803,0.631,5,-8.323,0,0.0482,0.231,0.887,0.0985,0.391,121.996,audio_features,0LDxYtcNpdJTYn0e1XXWJR,spotify:track:0LDxYtcNpdJTYn0e1XXWJR,https://api.spotify.com/v1/tracks/0LDxYtcNpdJTYn0e1XXWJR,https://api.spotify.com/v1/audio-analysis/0LDxYtcNpdJTYn0e1XXWJR,348258,4
0.69,0.964,10,-5.121,0,0.056,0.00419,0.907,0.241,0.246,123.997,audio_features,4wjjoEdPT6a5f2BGMnpOBX,spotify:track:4wjjoEdPT6a5f2BGMnpOBX,https://api.spotify.com/v1/tracks/4wjjoEdPT6a5f2BGMnpOBX,https://api.spotify.com/v1/audio-analysis/4wjjoEdPT6a5f2BGMnpOBX,214839,4
0.807,0.962,5,-5.975,0,0.0534,0.00387,0.708,0.14,0.772,122.004,audio_features,3cA4x3DnZLk3zBJDisW9DA,spotify:track:3cA4x3DnZLk3zBJDisW9DA,https://api.spotify.com/v1/tracks/3cA4x3DnZLk3zBJDisW9DA,https://api.spotify.com/v1/audio-analysis/3cA4x3DnZLk3zBJDisW9DA,381639,4
0.571,0.921,8,-5.363,1,0.0359,0.00123,0.546,0.0808,0.674,122.984,audio_features,3sBoraxFOxBb2oBcP9458P,spotify:track:3sBoraxFOxBb2oBcP9458P,https://api.spotify.com/v1/tracks/3sBoraxFOxBb2oBcP9458P,https://api.spotify.com/v1/audio-analysis/3sBoraxFOxBb2oBcP9458P,209053,4
0.762,0.882,4,-6.328,1,0.0387,0.000851,0.813,0.119,0.717,123.994,audio_features,2lnzh2o7pxqqqjUPaUhovo,spotify:track:2lnzh2o7pxqqqjUPaUhovo,https://api.spotify.com/v1/tracks/2lnzh2o7pxqqqjUPaUhovo,https://api.spotify.com/v1/audio-analysis/2lnzh2o7pxqqqjUPaUhovo,441532,4
0.872,0.663,9,-8.834,1,0.0759,0.00389,0.0725,0.834,0.304,126.019,audio_features,1tRLXy4R5YDnwATpNIkz1R,spotify:track:1tRLXy4R5YDnwATpNIkz1R,https://api.spotify.com/v1/tracks/1tRLXy4R5YDnwATpNIkz1R,https://api.spotify.com/v1/audio-analysis/1tRLXy4R5YDnwATpNIkz1R,245714,4
0.783,0.957,11,-5.993,0,0.0385,0.000163,0.843,0.316,0.432,126.023,audio_features,0CfTLaXBmdoZ2dveJPzWOZ,spotify:track:0CfTLaXBmdoZ2dveJPzWOZ,https://api.spotify.com/v1/tracks/0CfTLaXBmdoZ2dveJPzWOZ,https://api.spotify.com/v1/audio-analysis/0CfTLaXBmdoZ2dveJPzWOZ,206493,4
0.615,0.828,6,-7.581,0,0.0319,5.54e-05,0.892,0.628,0.0762,130.007,audio_features,7e12iziWh8M8ocSH7MZr54,spotify:track:7e12iziWh8M8ocSH7MZr54,https://api.spotify.com/v1/tracks/7e12iziWh8M8ocSH7MZr54,https://api.spotify.com/v1/audio-analysis/7e12iziWh8M8ocSH7MZr54,479799,4
0.85,0.851,11,-4.337,0,0.11,0.00219,0.839,0.0308,0.571,125.007,audio_features,3VNfBxJ5AwaBfcPbM8D3U1,spotify:track:3VNfBxJ5AwaBfcPbM8D3U1,https://api.spotify.com/v1/tracks/3VNfBxJ5AwaBfcPbM8D3U1,https://api.spotify.com/v1/audio-analysis/3VNfBxJ5AwaBfcPbM8D3U1,231625,4
0.751,0.871,2,-7.466,0,0.0471,0.0616,0.116,0.311,0.809,123.963,audio_features,5Z7KbrTanV8EXzcphI58J6,spotify:track:5Z7KbrTanV8EXzcphI58J6,https://api.spotify.com/v1/tracks/5Z7KbrTanV8EXzcphI58J6,https://api.spotify.com/v1/audio-analysis/5Z7KbrTanV8EXzcphI58J6,145645,4
0.753,0.878,1,-6.082,1,0.0492,0.000608,0.507,0.0461,0.715,124.951,audio_features,631bx8hIT8bVS2vfUzn5GN,spotify:track:631bx8hIT8bVS2vfUzn5GN,https://api.spotify.com/v1/tracks/631bx8hIT8bVS2vfUzn5GN,https://api.spotify.com/v1/audio-analysis/631bx8hIT8bVS2vfUzn5GN,264320,4
0.803,0.963,2,-7.487,0,0.06,0.00208,0.671,0.117,0.881,123.984,audio_features,2peBHbraszZlV8vXUFbnea,spotify:track:2peBHbraszZlV8vXUFbnea,https://api.spotify.com/v1/tracks/2peBHbraszZlV8vXUFbnea,https://api.spotify.com/v1/audio-analysis/2peBHbraszZlV8vXUFbnea,267938,4
0.801,0.808,6,-7.847,0,0.0563,0.0108,0.813,0.0158,0.391,124.022,audio_features,7ICXmjcTSj3KN81rPE1E1B,spotify:track:7ICXmjcTSj3KN81rPE1E1B,https://api.spotify.com/v1/tracks/7ICXmjcTSj3KN81rPE1E1B,https://api.spotify.com/v1/audio-analysis/7ICXmjcTSj3KN81rPE1E1B,313434,4
0.657,0.762,2,-7.945,0,0.0441,0.0424,0.0329,0.242,0.4,115.981,audio_features,0eIwfLp2Cs1wQu7CaxJrmm,spotify:track:0eIwfLp2Cs1wQu7CaxJrmm,https://api.spotify.com/v1/tracks/0eIwfLp2Cs1wQu7CaxJrmm,https://api.spotify.com/v1/audio-analysis/0eIwfLp2Cs1wQu7CaxJrmm,198103,4
0.589,0.871,11,-5.698,1,0.0342,0.00215,9.42e-05,0.378,0.237,123.005,audio_features,4ooxGxWbItZv2pnND3tYZj,spotify:track:4ooxGxWbItZv2pnND3tYZj,https://api.spotify.com/v1/tracks/4ooxGxWbItZv2pnND3tYZj,https://api.spotify.com/v1/audio-analysis/4ooxGxWbItZv2pnND3tYZj,184372,4
0.744,0.475,9,-9.426,0,0.0525,0.223,0.469,0.0821,0.605,120.011,audio_features,0oBQ4PyhE7mQYYA0WidwWt,spotify:track:0oBQ4PyhE7mQYYA0WidwWt,https://api.spotify.com/v1/tracks/0oBQ4PyhE7mQYYA0WidwWt,https://api.spotify.com/v1/audio-analysis/0oBQ4PyhE7mQYYA0WidwWt,224500,4
0.809,0.818,1,-4.383,1,0.0471,0.139,0.222,0.0879,0.659,121.005,audio_features,1lGaTVSuX4oq6JewT9otXm,spotify:track:1lGaTVSuX4oq6JewT9otXm,https://api.spotify.com/v1/tracks/1lGaTVSuX4oq6JewT9otXm,https://api.spotify.com/v1/audio-analysis/1lGaTVSuX4oq6JewT9otXm,178275,4
0.863,0.601,7,-6.978,0,0.054,0.109,0.00764,0.0676,0.178,122.961,audio_features,1iXBApi39l5r6lJj9WEXXS,spotify:track:1iXBApi39l5r6lJj9WEXXS,https://api.spotify.com/v1/tracks/1iXBApi39l5r6lJj9WEXXS,https://api.spotify.com/v1/audio-analysis/1iXBApi39l5r6lJj9WEXXS,251960,4
0.853,0.947,10,-4.327,0,0.0879,0.000441,0.771,0.212,0.819,124.039,audio_features,3QPbZ6RNHu4WU9aeDGnNBu,spotify:track:3QPbZ6RNHu4WU9aeDGnNBu,https://api.spotify.com/v1/tracks/3QPbZ6RNHu4WU9aeDGnNBu,https://api.spotify.com/v1/audio-analysis/3QPbZ6RNHu4WU9aeDGnNBu,406452,4
0.717,0.973,11,-4.781,1,0.114,0.117,0.000268,0.722,0.843,124.981,audio_features,5846hFb3Mpewvvdl1XxCyZ,spotify:track:5846hFb3Mpewvvdl1XxCyZ,https://api.spotify.com/v1/tracks/5846hFb3Mpewvvdl1XxCyZ,https://api.spotify.com/v1/audio-analysis/5846hFb3Mpewvvdl1XxCyZ,415440,4
0.789,0.818,3,-6.335,0,0.0387,0.164,0.695,0.0932,0.857,119.981,audio_features,58Ne3vjG13dczAAQcmN4aU,spotify:track:58Ne3vjG13dczAAQcmN4aU,https://api.spotify.com/v1/tracks/58Ne3vjG13dczAAQcmN4aU,https://api.spotify.com/v1/audio-analysis/58Ne3vjG13dczAAQcmN4aU,408500,4
0.8,0.549,1,-7.361,1,0.057,2.42e-05,0.838,0.0419,0.403,123.007,audio_features,3xwO0UZmsOcSYlTQljzJAi,spotify:track:3xwO0UZmsOcSYlTQljzJAi,https://api.spotify.com/v1/tracks/3xwO0UZmsOcSYlTQljzJAi,https://api.spotify.com/v1/audio-analysis/3xwO0UZmsOcSYlTQljzJAi,362927,4
0.695,0.589,10,-8.312,0,0.0597,0.00563,0.753,0.0399,0.898,124.961,audio_features,4AkKP11ZKYoOnXTbzX9k06,spotify:track:4AkKP11ZKYoOnXTbzX9k06,https://api.spotify.com/v1/tracks/4AkKP11ZKYoOnXTbzX9k06,https://api.spotify.com/v1/audio-analysis/4AkKP11ZKYoOnXTbzX9k06,408960,4
0.695,0.701,0,-8.515,1,0.0573,0.000522,0.788,0.0162,0.855,125.015,audio_features,21lvXgA95xnPWhaKzHleNK,spotify:track:21lvXgA95xnPWhaKzHleNK,https://api.spotify.com/v1/tracks/21lvXgA95xnPWhaKzHleNK,https://api.spotify.com/v1/audio-analysis/21lvXgA95xnPWhaKzHleNK,403200,4
0.623,0.851,0,-6.282,1,0.0481,0.000298,0.903,0.0423,0.447,121.988,audio_features,33yLfDxtmgi70gg8ltHOPL,spotify:track:33yLfDxtmgi70gg8ltHOPL,https://api.spotify.com/v1/tracks/33yLfDxtmgi70gg8ltHOPL,https://api.spotify.com/v1/audio-analysis/33yLfDxtmgi70gg8ltHOPL,206557,4
0.808,0.83,6,-7.128,1,0.0712,0.000954,0.759,0.0566,0.635,123.005,audio_features,1YM8rE0OUsaOJhbjoz6WaY,spotify:track:1YM8rE0OUsaOJhbjoz6WaY,https://api.spotify.com/v1/tracks/1YM8rE0OUsaOJhbjoz6WaY,https://api.spotify.com/v1/audio-analysis/1YM8rE0OUsaOJhbjoz6WaY,347317,4
0.805,0.861,0,-9.68,1,0.0729,0.000317,0.823,0.268,0.279,121.992,audio_features,5WQN7YSJndtiN7uLs6066T,spotify:track:5WQN7YSJndtiN7uLs6066T,https://api.spotify.com/v1/tracks/5WQN7YSJndtiN7uLs6066T,https://api.spotify.com/v1/audio-analysis/5WQN7YSJndtiN7uLs6066T,259596,4
0.652,0.911,11,-6.12,1,0.0579,0.0271,0.457,0.0986,0.73,123.991,audio_features,4QG1g2GU1OGZjYbF4c6B0J,spotify:track:4QG1g2GU1OGZjYbF4c6B0J,https://api.spotify.com/v1/tracks/4QG1g2GU1OGZjYbF4c6B0J,https://api.spotify.com/v1/audio-analysis/4QG1g2GU1OGZjYbF4c6B0J,315484,4
0.825,0.767,7,-7.463,1,0.0795,0.00424,0.955,0.0587,0.531,123.974,audio_features,1bWjwWbc8DR7MUSVnDH1lZ,spotify:track:1bWjwWbc8DR7MUSVnDH1lZ,https://api.spotify.com/v1/tracks/1bWjwWbc8DR7MUSVnDH1lZ,https://api.spotify.com/v1/audio-analysis/1bWjwWbc8DR7MUSVnDH1lZ,282696,4
0.802,0.947,9,-4.509,0,0.0598,0.0564,0.81,0.0725,0.565,124.004,audio_features,6srflHdwkhILhjQEmjJK2b,spotify:track:6srflHdwkhILhjQEmjJK2b,https://api.spotify.com/v1/tracks/6srflHdwkhILhjQEmjJK2b,https://api.spotify.com/v1/audio-analysis/6srflHdwkhILhjQEmjJK2b,402000,4
0.849,0.931,8,-7.517,0,0.0482,0.000458,0.103,0.0477,0.839,121.005,audio_features,5jZdoOLctNYU8c9zDlCLzJ,spotify:track:5jZdoOLctNYU8c9zDlCLzJ,https://api.spotify.com/v1/tracks/5jZdoOLctNYU8c9zDlCLzJ,https://api.spotify.com/v1/audio-analysis/5jZdoOLctNYU8c9zDlCLzJ,335222,4
0.776,0.905,10,-6.026,0,0.0478,0.00108,0.837,0.0593,0.666,123.008,audio_features,1cMyaPPolU15WhI1c7DQvq,spotify:track:1cMyaPPolU15WhI1c7DQvq,https://api.spotify.com/v1/tracks/1cMyaPPolU15WhI1c7DQvq,https://api.spotify.com/v1/audio-analysis/1cMyaPPolU15WhI1c7DQvq,347317,4
0.865,0.647,5,-7.782,0,0.0716,0.00283,0.431,0.161,0.488,122.01,audio_features,3W5ctwudeucfDZE21emzqG,spotify:track:3W5ctwudeucfDZE21emzqG,https://api.spotify.com/v1/tracks/3W5ctwudeucfDZE21emzqG,https://api.spotify.com/v1/audio-analysis/3W5ctwudeucfDZE21emzqG,336000,4
